16222820763,1,1973279538
16227244582,1,36237132
16227251260,1,26119096
16227262245,1,24164135
16232522117,1,44339347
16239317672,8,13827807
16242676198,1,24031124
16245156450,1,388371727
16252979108,1,350293852
16252994897,1,45549295
16252997290,1,669542556
16253039079,1,41034856
16254921218,11,666698857
16254921229,2489,621548192
16255687033,8,10977077
16267443665,1,209399921
16267451133,1,240526270
16274712968,8,14974333
16286151798,1,26464858
16287193223,1,1530978835
16292478908,8,15921796
16295958618,1,18869098
16304309151,1,42092588
16304337722,1,124350329
16305133220,1,27844368
16305940465,11,40783255
16305940478,14,40783140
16307328296,1,30931490
16310816301,8,19082565
16314500880,2,94226110
16318374780,1,28182371
16319866465,3,1316390444
16332561237,8,70285495
16340713456,1,37323141
16353280486,1,61165946
16354821817,11,60377083
16354821828,1,60376968
16365824933,1,126108598
16365829242,1,119150719
16365831265,1,37216315
16372957032,4,74519581
16378866382,1,601775898
16382787659,1,28235960
16391575225,1,198865061
16391586252,1,69079945
16393355613,2,68303098
16393355615,1,68302612
16393355641,11,198088220
16393355652,14,105616298
16394173290,1,196473690
16403720124,1,197669804
16406118671,8,3326614748
16413579150,1,171987359
16415975795,1,17827013
16441510397,1,289133388
16454681505,1,1397243105
16454685958,1,49701989
16467257777,1,27441704
16467261253,1,487411824
16469030790,58,204211785
16469030848,1,486655433
16473655652,1,26728541
16490501705,2,77432379
16490501722,1,109196964
16491990362,1,189694735
16501156884,1,19855032
16501896207,1,179844742
16504507770,1,286316444
16504520993,50,177153983
16513327590,1,209963843
16515600927,1,31254501
16515603295,1,22591771
16517799314,1,1310918957
16519137769,11,1310245391
16528790357,1,1299826095
16530247388,1,242485982
16530256367,489,280612958
16532091640,11,240490690
16532091651,14,137376562
16535403252,1,23589947
16537777485,1,234946174
16539648150,1,31314071
16565094422,1,28895388
16567248137,1,263229885
16567263752,1,254407600
16567266220,1,290379934
16567268256,1,272106752
16572496661,1,25899179
16579395809,1,110794111
16592213379,1,31207283
16616455717,1,262962899
16616458179,1,184269499
16616463029,1,171552299
16616476657,1,929331347
16617988076,50,183274643
16617988144,50,170556688
16619059687,1,28748497
16620454621,1,180276435
16620460625,1,167559439
16628793090,1,109904417
16628798830,1,117298247
16628802658,1,33616589
16628981206,1,77377420
16628986314,1,79794840
16630773840,55,76664018
16630773895,1,76663286
16630773920,1,79080781
16642849701,55,66165373
16642853396,1,64685540
16644404522,2,83555461
16644404523,9,83555460
16644404532,1,83555419
16644451626,1,21632226
16653215910,1,20968328
16678644797,1,30355057
16679413472,1,79297558
16681158277,1,26051101
16685541318,5,112342774
16690128804,1,78969525
16690857169,1,74511045
16690865488,1,196123683
16690867755,1,54917309
16690874890,1,54075985
16693068584,1,34222622
16705836011,1,38032972
16709872544,1,25384859
16727262464,1,742114444
16728040713,3,46704981
16728040741,4,153302068
16728040878,3,237540676
16729681679,1,73350985
16729690854,1,73350957
16732746512,2,72519899
16732746514,1,72519895
16732746534,2,72519906
16732746536,1,72519869
16743125099,9,61499462
16755495595,1,285618638
16755500356,1,42494547
16755505504,1,195664497
16757038611,50,194644244
16757038661,1,194643843
16768581533,1,98004546
16775478428,1,90749240
16781085208,2,85421119
16781087859,9,85421108
16784987223,1,14996655
