0,19,4,1,42,1
1,3,6,1,39,2
2,4,13270,1,160,3
3,15,14005,1,373,4
4,13,24050,1,41,5
5,7,25013,11,31,16
6,16,26408,1,180,17
7,13,30282,1,28,18
8,20,30287,1,25,19
9,1,30287,1,125,20
10,15,41382,1,287,21
11,8,44246,1,1716,22
12,4,45068,17,90,39
13,11,46496,38,266,77
14,1,59190,8,70,85
15,18,60578,1,30,86
16,13,60580,1,669,87
17,7,64866,1,131,88
18,14,70337,1,37,89
19,1,70337,9,221,98
20,8,71093,1,1995,99
21,15,71116,1,27,100
22,16,71837,1,480,101
23,8,75521,100,388,201
24,8,95695,1,63,202
25,8,103564,1,147,203
26,15,106008,11,89,214
27,10,108381,1,78,215
28,1,110011,1,297,216
29,18,111335,1,30,217
30,4,111337,1,260,218
31,10,139911,1,131,219
32,11,152678,1,38,220
33,17,152683,1,376,221
34,14,154306,1,573,222
35,7,160619,1,163,223
36,10,176676,1,66,224
37,16,176696,1,81,225
38,17,176701,1,115,226
39,19,179540,1,249,227
40,2,179543,1,3336,228
41,8,179543,1,231,229
42,13,184761,31,383,260
43,6,185576,120,26,380
44,18,185576,243,58,623
45,12,185578,1,3224,624
46,15,198396,1,31,625
47,17,199081,50,130,675
48,6,199082,1,83,676
49,13,200470,2,23,678
50,16,211187,1,26,679
51,1,220779,1,56,680
52,2,220790,1,23,681
53,20,259513,1,147,682
54,19,263399,1,145,683
55,6,265081,2,247,685
56,17,269310,35,426,720
57,1,270063,1,29,721
58,7,270076,1,251,722
59,18,270077,15,174,737
60,13,279865,1,259,738
61,12,279868,1,121,739
62,19,282241,1,78,740
63,15,284395,3,74,743
64,9,284395,5,76,748
65,18,290839,1,244,749
66,1,290859,1,94,750
67,17,299442,1,21,751
68,5,301264,1,27,752
69,18,306614,1,181,753
70,14,306617,14,83,767
71,2,306620,1,111,768
72,12,315488,1,22,769
73,18,316281,1,221,770
74,17,316283,1,281,771
75,16,330773,1,1866,772
76,12,330773,1,58,773
77,12,331588,120,26,893
78,18,331595,1,26,894
79,20,331595,11,84,905
80,20,333273,1,18,906
81,15,352584,1,24,907
82,1,352584,1,180,908
83,8,353354,1,845,909
84,6,355603,2,159,911
85,19,356341,1,404,912
86,3,356341,16,738,928
87,18,359260,5,14,933
88,9,359260,1,1330,934
89,3,371827,1,61,935
90,1,371829,1,272,936
91,1,375525,11,109,947
92,9,398262,1,28,948
93,9,412641,1,28,949
94,20,421406,1,20,950
95,12,424180,1,1003,951
96,3,427983,837,25,1788
97,6,432723,1,72,1789
98,17,445987,1,160,1790
99,6,455214,1,118,1791
100,9,460971,1,92,1792
101,10,477545,1,363,1793
102,11,479699,1,110,1794
103,16,483302,1,89,1795
104,1,487685,5,112,1800
105,13,490702,1,24,1801
106,14,490707,1,188,1802
107,7,490707,219,25,2021
108,4,502958,1,137,2022
109,17,503782,2,950,2024
110,20,503785,1,297,2025
111,1,523841,1,23,2026
112,1,527380,1200,482,3226
113,5,528827,11,2113,3237
114,6,539830,1,126,3238
115,17,544818,1,71,3239
116,14,546730,1,2581,3240
117,8,546734,100,195,3340
118,17,548171,1,267,3341
119,8,552898,5,31,3346
120,1,556280,1,1997,3347
121,19,558009,11,103,3358
122,11,564868,1,1170,3359
123,14,571312,1,244,3360
124,10,575937,1,26,3361
125,7,575937,3,237,3364
126,2,578898,1,831,3365
127,3,578902,1,19,3366
128,3,578907,1,314,3367
129,10,578910,1,57,3368
130,6,584128,31,383,3399
131,19,585452,1,30,3400
132,5,588273,50,177,3450
133,18,588289,1,45,3451
134,2,590509,46,213,3497
135,7,590509,399,86,3896
136,19,590521,1,47,3897
137,6,590527,1,77,3898
138,20,596588,1,372,3899
139,2,596590,1,103,3900
140,7,596593,1,31,3901
141,4,598886,1,23,3902
142,19,598889,14,83,3916
143,14,598889,11,41,3927
144,7,599711,17,90,3944
145,4,601867,1,103,3945
146,13,611917,1,259,3946
147,17,611917,1,84,3947
148,1,613232,1,25,3948
149,20,623099,1,116,3949
150,13,623837,1,79,3950
151,10,625343,1,132,3951
152,6,626385,1,1530,3952
153,11,631900,1,275,3953
154,19,632825,1,88,3954
155,5,632870,1,48,3955
156,14,637442,1,34,3956
157,9,647466,1,509,3957
158,4,647466,11,41,3968
159,13,647466,1,135,3969
160,18,648930,1,21,3970
161,18,653310,1,26,3971
162,18,655031,11,57,3982
163,3,655059,1,27,3983
164,2,655059,1,388,3984
165,5,660287,1,25,3985
166,6,662047,1,93,3986
167,18,662047,11,120,3997
168,9,672071,1,509,3998
169,11,672081,1,151,3999
170,17,672081,1,180,4000
171,9,672081,1,64,4001
172,11,672081,1,58,4002
173,4,672109,1,20,4003
174,8,708671,1,302,4004
175,20,710281,1,36,4005
176,16,710281,512,2115,4517
177,19,710286,1,195,4518
178,4,710292,1,289,4519
179,2,710949,9,64,4528
180,3,710959,1,55,4529
181,5,710984,1,2187,4530
182,5,710986,1,118,4531
183,4,717965,1,30,4532
184,19,717972,1,180,4533
185,13,722746,11,48,4544
186,19,726057,1,23,4545
187,8,726795,1,404,4546
188,3,726795,15,123,4561
189,9,729169,1,78,4562
190,10,729985,1,191,4563
191,18,733051,15,226,4578
192,4,755858,1,105,4579
193,9,755863,1,30,4580
194,2,755863,1,83,4581
195,10,761924,1,372,4582
196,20,761924,2489,621,7071
197,1,761929,1,43,7072
198,14,763441,50,183,7122
199,2,768028,1,78,7123
200,8,771647,1,21,7124
201,19,773876,1,18,7125
202,6,776042,1,374,7126
203,15,776770,1,74,7127
204,8,781510,1,72,7128
205,4,781512,1,31,7129
206,13,784676,1,116,7130
207,18,791005,1,305,7131
208,10,791005,5,76,7136
209,9,791742,1,404,7137
210,16,791743,11,62,7148
211,4,794237,1,109,7149
212,11,794239,1,122,7150
213,1,800148,1,601,7151
214,10,800190,1,41,7152
215,20,800190,9,221,7161
216,15,811795,1,79,7162
217,11,817076,1,32,7163
218,3,819178,1,237,7164
219,11,819918,1,179,7165
220,20,819921,1,267,7166
221,15,819924,1,267,7167
222,9,820693,1,79,7168
223,20,834422,1,29,7169
224,18,834427,1,433,7170
225,16,836036,1,36,7171
226,12,836041,1,130,7172
227,6,836045,1,113,7173
228,7,838198,1,80,7174
229,7,850299,1,32,7175
230,12,851725,11,292,7186
231,9,851740,1,254,7187
232,15,851745,1,171,7188
233,19,851759,1,929,7189
234,11,853197,60,506,7249
235,8,853202,1,158,7250
236,10,853203,1,231,7251
237,11,861990,1,198,7252
238,11,870832,1,28,7253
239,19,873705,52,283,7305
240,10,874674,1,339,7306
241,11,874678,1,294,7307
242,18,876466,55,76,7362
243,19,876474,1,265,7363
244,20,878524,1,312,7364
245,8,878524,50,170,7414
246,1,878533,1,33,7415
247,8,881494,1,46,7416
248,3,891359,1,23,7417
249,18,896792,1,23,7418
250,3,898401,1,36,7419
251,3,922169,1,295,7420
252,1,922198,1,124,7421
253,12,926001,837,25,8258
254,16,927900,1,33,8259
255,5,936970,15,305,8274
256,17,938757,55,76,8329
257,11,938761,1,433,8330
258,17,942073,1,23,8331
259,6,942076,1,111,8332
260,5,943773,16,928,8348
261,11,943776,9,85,8357
262,4,953399,1,31,8358
263,17,955544,1,3200,8359
264,20,955548,1,66,8360
265,5,955567,1,183,8361
266,7,976860,1,158,8362
267,18,980759,1,14,8363
268,2,980759,11,120,8374
269,11,980760,512,2115,8886
270,20,982403,14,423,8900
271,18,983174,1,845,8901
272,7,983174,11,64,8912
273,10,983179,1,750,8913
274,18,983184,1,25,8914
275,2,983187,1,31,8915
276,8,983187,11,129,8926
277,3,986009,50,177,8976
278,15,986016,1,110,8977
279,14,988977,1,46,8978
280,9,990771,1,152,8979
281,15,992924,1,80,8980
